Name,>Promoter0,>Lox0,<Tag0,<Lox0,>Promoter1,>Lox1,<Tag1,<Lox1,>Promoter2,>Lox2,<Tag2,<Lox2,>Promoter3,>Lox3,<Tag3,<Lox3,>Promoter4,>Lox4,<Tag4,<Lox4,>Promoter5,>Lox5,<Tag5,<Lox5,>Promoter6,>Lox6,<Tag6,<Lox6,>Promoter7,>Lox7,<Tag7,<Lox7,>Promoter8,>Lox8,<Tag8,<Lox8,>Promoter9,>Lox9,<Tag9,<Lox9,>P10,>Lox10,<Tag10,<Lox10,>Promoter11,>Lox11,<Tag11,<Lox11
q1.2.3,>P0,>LoxP,<AU1,<LoxP,>P1,>LoxP,<AU5,<LoxP,>P2,>LoxP,<B,<LoxP,>P3,>LoxP,<E1,<LoxP,>P4,>LoxN,<E2,<LoxN,>P5,>LoxN,<Flag,<LoxN,>P6,>LoxN,<HA,<LoxN,>P7,>LoxN,<OLLAS,<LoxN,>P8,>Lox2272,<SI,<Lox2272,>P9,>Lox2272,<Strep2,<Lox2272,>P10,>Lox2272,<V5,<Lox2272,>P11,>Lox2272,<VSVG,<Lox2272
q1.3.3,>P0,>LoxP ,<AU1,<LoxP,>P1,>LoxN,<AU5,<LoxN,>P2,>Lox2272,<B,<Lox2272,>P3,>LoxP,<E1,<LoxP,>P4,>LoxN,<E2,<LoxN,>P5,>Lox2272,<Flag,<Lox2272,>P6,>LoxP,<HA,<LoxP,>P7,>LoxN,<OLLAS,<LoxN,>P8,>Lox2272,<SI,<Lox2272,>P9,>LoxP,<Strep2,<LoxP,>P10,>LoxN,<V5,<LoxN,>P11,>Lox2272,<VSVG,<Lox2272
